n	lam	c	test_accuracy	test_average	test_precision	test_recall
1	1.0	1	0.870822041554	0.868998955829	0.866918000392	0.869256825542
1	1.0	25	0.870822041554	0.868998955829	0.866918000392	0.869256825542
1	1.0	50	0.870822041554	0.868998955829	0.866918000392	0.869256825542
1	25.0	1	0.869918699187	0.865453418033	0.86157972121	0.864861833702
1	25.0	25	0.869918699187	0.865453418033	0.86157972121	0.864861833702
1	25.0	50	0.869918699187	0.865453418033	0.86157972121	0.864861833702
1	50.0	1	0.868112014453	0.861282301964	0.859210009538	0.8565248819
1	50.0	25	0.86901535682	0.863263778028	0.859995776215	0.860780201049
1	50.0	50	0.86901535682	0.863263778028	0.859995776215	0.860780201049
2	1.0	1	0.948509485095	0.938373115386	0.924149171655	0.942460689408
2	1.0	25	0.948509485095	0.937105530874	0.920346418119	0.942460689408
2	1.0	50	0.948509485095	0.937105530874	0.920346418119	0.942460689408
2	25.0	1	0.950316169828	0.940685333993	0.927936018876	0.943803813273
2	25.0	25	0.948509485095	0.938596712243	0.921549143203	0.945731508431
2	25.0	50	0.948509485095	0.938596712243	0.921549143203	0.945731508431
2	50.0	1	0.949412827462	0.938465945289	0.927203747331	0.938781261075
2	50.0	25	0.947606142728	0.939231048056	0.924085714403	0.946001287037
2	50.0	50	0.948509485095	0.940055035137	0.925296551527	0.94635906879
3	1.0	1	0.961156278229	0.959995691543	0.955317139001	0.963513657398
3	1.0	25	0.961156278229	0.9585879248	0.951721399131	0.962886097039
3	1.0	50	0.960252935863	0.956713276497	0.951082429242	0.958804464386
3	25.0	1	0.957542908762	0.95115427253	0.95419711537	0.941722793458
3	25.0	25	0.958446251129	0.954517391326	0.950600358193	0.954505564657
3	25.0	50	0.959349593496	0.955161283331	0.950957550901	0.955176705596
3	50.0	1	0.948509485095	0.942073286109	0.951716012861	0.925994360371
3	50.0	25	0.955736224029	0.951332778731	0.949180462038	0.949081650125
3	50.0	50	0.955736224029	0.951332778731	0.949180462038	0.949081650125
